,X,Y,Z,          U-U1,          U-U2,          U-U3,S11,S22,S12
28790,49.0,-45.0,4.79742e-06,      -1.01045,   64.3432E-03,   6.41885E-03,0.048303,0.0151996,0.000253673
28791,48.0,-45.0,1.90141e-05,      -1.01025,   64.3461E-03,   25.6123E-03,0.0475652,0.0149152,0.000277578
28796,47.0,-45.0,4.23566e-05,      -1.00973,   64.3512E-03,   57.4014E-03,0.0466538,0.0144463,0.000154946
28797,46.0,-45.0,7.464510000000001e-05,      -1.00874,   64.3571E-03,   101.555E-03,0.0457055,0.0138898,3.95107e-05
28802,45.0,-45.0,0.000115765,      -1.00713,   64.3632E-03,   157.857E-03,0.044705,0.0133264,-1.70653e-05
28805,44.0,-45.0,0.00016560900000000002,      -1.00478,   64.3682E-03,   226.071E-03,0.043601,0.012808,-2.0904e-05
28806,43.0,-45.0,0.00022405599999999998,      -1.00157,   64.3721E-03,   305.944E-03,0.042345,0.0123141,-1.41167e-05
28811,42.0,-45.0,0.00029094200000000003,  -997.374E-03,   64.3748E-03,   397.169E-03,0.0409374,0.0118121,-1.21316e-05
28812,41.0,-45.0,0.00036606,  -992.108E-03,   64.3763E-03,   499.392E-03,0.0393698,0.0112801,-1.97119e-05
28817,40.0,-45.0,0.00044916,  -985.695E-03,   64.3769E-03,   612.209E-03,0.0376483,0.0107039,-3.73707e-05
28820,39.0,-45.0,0.000539951,  -978.076E-03,   64.3767E-03,   735.171E-03,0.0357779,0.0100793,-6.10269e-05
28821,38.0,-45.0,0.000638103,  -969.212E-03,   64.3757E-03,   867.782E-03,0.0337683,0.00940929,-8.69437e-05
28826,37.0,-45.0,0.00074325,  -959.084E-03,   64.3740E-03,       1.00951,0.0316296,0.00870118,-0.000110947
28827,36.0,-45.0,0.000854992,  -947.694E-03,   64.3716E-03,       1.15978,0.0293734,0.00796537,-0.000129625
28832,35.0,-45.0,0.000972898,  -935.064E-03,   64.3685E-03,       1.31799,0.0270113,0.00721337,-0.000140461
28835,34.0,-45.0,0.00109651,  -921.235E-03,   64.3648E-03,       1.48351,0.0245549,0.0064565,-0.000141678
28836,33.0,-45.0,0.00122534,  -906.266E-03,   64.3606E-03,       1.65567,0.022015,0.00570487,-0.000132716
28841,32.0,-45.0,0.00135889,  -890.237E-03,   64.3560E-03,       1.83380,0.0194016,0.00496638,-0.00011381
28842,31.0,-45.0,0.00149662,  -873.240E-03,   64.3512E-03,       2.01719,0.0167234,0.00424633,-8.63786e-05
28847,30.0,-45.0,0.00163799,  -855.387E-03,   64.3465E-03,       2.20511,0.0139875,0.00354685,-5.25739e-05
28850,29.0,-45.0,0.00178244,  -836.797E-03,   64.3422E-03,       2.39684,0.0112005,0.00286711,-1.53863e-05
28851,28.0,-45.0,0.00192939,  -817.606E-03,   64.3385E-03,       2.59162,0.00836768,0.00220337,2.18417e-05
28856,27.0,-45.0,0.00207825,  -797.955E-03,   64.3356E-03,       2.78871,0.00549421,0.00154972,5.55806e-05
28857,26.0,-45.0,0.00222843,  -777.994E-03,   64.3338E-03,       2.98733,0.00258527,0.000898652,8.2597e-05
28862,25.0,-45.0,0.00237933,  -757.877E-03,   64.3333E-03,       3.18672,-0.000353348,0.000242077,0.000100214
28865,24.0,-45.0,0.00253034,  -737.759E-03,   64.3339E-03,       3.38612,-0.00331489,-0.000427829,0.000106658
28866,23.0,-45.0,0.00268086,  -717.798E-03,   64.3357E-03,       3.58474,-0.0062913,-0.00111771,0.000101198
28871,22.0,-45.0,0.00283029,  -698.147E-03,   64.3386E-03,       3.78182,-0.00927304,-0.00183234,8.4228e-05
28872,21.0,-45.0,0.00297803,  -678.955E-03,   64.3423E-03,       3.97661,-0.012249,-0.00257407,5.71723e-05
28877,20.0,-45.0,0.00312348,  -660.365E-03,   64.3465E-03,       4.16834,-0.0152066,-0.00334264,2.23009e-05
28880,19.0,-45.0,0.00326607,  -642.510E-03,   64.3510E-03,       4.35627,-0.0181319,-0.0041351,-1.75549e-05
28881,18.0,-45.0,0.00340521,  -625.513E-03,   64.3554E-03,       4.53966,-0.0210097,-0.00494612,-5.93165e-05
28886,17.0,-45.0,0.00354037,  -609.482E-03,   64.3595E-03,       4.71780,-0.0238241,-0.0057684,-9.99757e-05
