ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,       LE-LE11,       LE-LE22,       LE-LE12,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11134,       2.28896,       8.52625,            0.,NA,NA,"",   32.2987E-03,  -53.8499E-03,   14.2568E-03,  -4.21722E-03,   1.42578E-03,   999.430E-03,   4.50304E-03,   37.1617E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11135,       7.44832,       8.54204,            0.,NA,NA,"",   108.173E-03,  -33.3011E-03,   14.5959E-03,  -4.39532E-03,   48.7760E-06,       1.02132,  -1.27828E-03,  -798.490E-06
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11136,       7.79612,       8.70826,            0.,NA,NA,"",   112.580E-03,  -32.5827E-03,   14.5422E-03,  -4.36033E-03,   74.1035E-06,       1.01800,   170.808E-06,  -121.840E-06
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11137,       8.70029,       6.10318,            0.,NA,NA,"",   137.511E-03,  -17.7526E-03,   14.4859E-03,  -4.05775E-03,  -767.855E-06,       1.02055,   22.2459E-03,  -22.8564E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11138,       8.67073,       4.00749,            0.,NA,NA,"",   147.501E-03,  -9.97451E-03,   14.2568E-03,  -3.38586E-03,  -1.81061E-03,       1.01833,   68.7456E-03,  -50.6377E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11139,       8.52349,       4.02870,            0.,NA,NA,"",   145.280E-03,  -10.4875E-03,   14.3064E-03,  -3.48348E-03,  -1.96207E-03,       1.01988,   62.3945E-03,  -54.7113E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11140,       6.96027,       1.63510,            0.,NA,NA,"",   134.093E-03,  -4.78530E-03,   13.3620E-03,  -3.30033E-03,  -3.13063E-03,   951.492E-03,   54.6541E-03,  -85.2194E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11141,       6.04202,       8.77604,            0.,NA,NA,"",   86.5077E-03,  -40.1434E-03,   14.6499E-03,  -4.46436E-03,   351.593E-06,       1.02391,  -5.37743E-03,   7.41731E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11142,       5.30687,       1.84929,            0.,NA,NA,"",   111.026E-03,  -6.19619E-03,   13.2415E-03,  -4.44087E-03,  -5.85927E-03,   915.560E-03,  -35.5156E-03,  -159.312E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11143,       3.84281,       8.76364,            0.,NA,NA,"",   54.2186E-03,  -49.1739E-03,   14.4675E-03,  -4.40663E-03,   1.15012E-03,       1.01128,  -5.21413E-03,   29.2108E-03
