,X,Y,U,V,Sig_x,Sig_y,Sig_xy
3524,2.3883,-0.660898,0.370931,0.11607200000000001,2.03277,0.328731,-0.603016
3525,-3.5145800000000005,4.99575,0.100779,-0.038778,1.26701,-0.140164,0.26360700000000004
3526,2.15242,-0.671471,0.364381,0.118533,2.14788,0.437622,-0.638189
3527,-2.98759,-6.55086,0.14595999999999998,0.125458,2.43313,0.174617,0.08551310000000001
3528,-5.61952,-3.3471599999999997,0.010742100000000001,0.0205375,-0.0851293,-0.49526499999999996,0.0808295
3529,-3.60066,4.36757,0.08646910000000001,-0.034981599999999995,0.568631,0.030880900000000003,0.23508400000000002
3530,-3.52609,0.439997,0.0853632,-0.0228875,1.64104,0.127025,0.0682134
3531,0.10241199999999999,3.87606,0.19805599999999998,-0.0458563,1.26421,0.197768,0.5313060000000001
3532,3.96181,3.6036599999999996,0.36372600000000005,0.011604600000000001,1.22507,-0.294636,-0.38861799999999996
3533,3.91075,0.346584,0.422454,0.0737208,0.756512,-0.685739,0.0455557
3534,1.63046,4.5370800000000004,0.251701,-0.051699300000000004,2.53025,0.476804,0.12443499999999999
3535,1.90094,4.2091,0.263853,-0.0467716,3.39459,0.26168600000000003,0.150815
3536,9.42864,8.34892,0.331444,0.09101000000000001,1.01491,0.0111804,0.0134463
3537,-8.28397,-9.452060000000001,0.0529976,0.024365,2.1009599999999997,0.00886151,0.0519028
3538,8.35021,9.42788,0.292003,0.062030999999999996,1.01801,0.0015622,0.0180665
3539,-9.42734,-8.35571,0.013081200000000001,0.00371517,1.7308700000000001,0.315688,0.14432799999999998
3540,9.38331,6.74947,0.367973,0.0964956,1.0235,0.0775038,-0.0275711
3541,9.45225,-8.282210000000001,0.412217,0.0775037,1.0155,0.029729900000000004,0.00883321
3542,-6.58034,-9.4319,0.103315,0.0521689,2.00351,-0.0155405,0.0786162
3543,8.35576,-9.42778,0.384,0.0932338,1.03829,0.00521818,0.00915191
3544,-9.4574,8.28041,0.00982947,-0.00481142,1.38929,0.299621,-0.225595
3545,-8.376619999999999,9.43261,0.037420800000000004,-0.0218211,1.51711,0.0223549,-0.0874543
3546,9.430589999999999,-6.5743100000000005,0.431878,0.0719447,1.01566,0.121892,0.0343326
3547,9.429780000000001,-1.57539,0.483922,0.07415830000000001,1.01593,0.577775,0.0627992
3548,6.60217,9.41922,0.266777,0.023896200000000003,1.0285799999999998,-0.0039787,0.0281426
3549,9.40498,1.73347,0.47632299999999994,0.0920561,1.0013299999999998,0.698688,-0.035018900000000006
3550,-9.38376,-6.74936,0.00945839,0.0006734880000000001,1.17232,0.261561,0.0114429
3551,9.40507,-3.26715,0.46996000000000004,0.0698073,1.0175,0.406802,0.0613375
3552,-9.42999,6.57463,0.00888877,-0.00284195,1.1926,0.286483,-0.130399
3553,-9.404760000000001,-1.7336599999999998,0.00275387,0.00255513,0.35338200000000003,0.14919300000000002,0.125032
3554,6.75007,-9.38437,0.359688,0.10743,1.1174,0.00143706,0.029927999999999996
3555,-9.42981,-3.4247900000000002,0.00262582,0.000894154,0.350952,0.176544,0.038727
3556,9.42985,3.4246800000000004,0.44809,0.09996089999999999,1.01399,0.516127,-0.0918173
3557,-6.6460300000000005,9.30066,0.0720073,-0.037944599999999995,1.37178,0.00023469299999999998,-0.054700099999999995
3558,-9.40428,3.27034,0.0072078,3.4122800000000002e-06,0.9276620000000001,0.21547199999999997,0.00041038800000000003
3559,1.6029,9.423869999999999,0.200004,-0.066381,0.852189,0.00901851,0.00721542
3560,3.3878,9.41014,0.222259,-0.0414379,0.900824,0.00723711,0.0541539
3561,-3.22207,-9.46695,0.18859700000000001,0.13833099999999998,1.37289,0.0193033,0.19568
3562,3.42509,-9.44609,0.300987,0.138463,1.28657,-0.00948186,-0.011406900000000001
3563,-9.44657,1.57513,0.00556131,0.00147367,0.770964,0.171932,0.0746136
3564,1.7784799999999998,-9.468060000000001,0.27053,0.15729100000000001,1.23977,-0.00749499,-0.0660279
3565,-1.57674,-9.44637,0.21666799999999997,0.169208,1.08807,0.037383099999999995,0.0627077
3566,-1.59448,9.42875,0.158675,-0.07791210000000001,0.97414,0.00639904,-0.041393400000000004
3567,-3.34827,9.41784,0.132447,-0.06854880000000001,1.11474,0.00340811,-0.07004869999999999
3568,4.5281400000000005,1.35966,0.43912799999999996,0.0546096,-0.034067,-0.847907,0.0146274
3569,-1.06576,0.6347520000000001,0.15596300000000002,-0.0317853,2.07967,0.554764,-0.774694
3570,-4.77303,-0.707639,0.0409479,-0.00171498,0.658224,-0.10933599999999999,0.22901100000000002
3571,1.36514,-2.10415,0.38771300000000003,0.114005,-0.0608643,-0.283878,0.00861011
3572,3.5146900000000003,-0.268773,0.403074,0.0898932,1.43225,-0.408398,-0.18271300000000001
3573,-1.9742,2.3000700000000003,0.114514,-0.0281948,1.1376700000000002,0.6905680000000001,0.162846
3574,0.745008,-0.687894,0.325916,0.085485,1.88516,-0.12878599999999998,-0.366684
3575,9.39594,8.74376,0.32213400000000003,0.088505,1.0137399999999999,0.0060026,0.018275
3576,-8.77544,-9.451089999999999,0.038214599999999994,0.0180163,2.14623,0.0321006,0.08483339999999999
3577,8.72387,9.43401,0.297243,0.07030410000000001,1.01431,0.00241672,0.0197801
3578,-9.40983,-8.7459,0.014811700000000002,0.00521929,1.89087,0.297694,0.188329
3579,9.448960000000001,-8.775,0.40681999999999996,0.0795472,1.01542,0.0152488,0.00103433
3580,8.74615,-9.41057,0.389946,0.0893754,1.02682,0.00602313,0.00303351
3581,9.42561,-6.1884,0.436517,0.0710467,1.01567,0.14990599999999998,0.0388384
3582,-9.45515,8.7725,0.0107335,-0.00586953,1.48445,0.28208,-0.259812
