ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9063,       5.28789,       6.37699,            0.,NA,NA,"",   85.3550E-03,  -50.5258E-03,       1.11792,  -42.9444E-03,   57.2047E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9064,       5.69535,       4.32772,            0.,NA,NA,"",   110.079E-03,  -33.8809E-03,       1.22234,  -129.585E-03,  -24.2744E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9065,       3.65606,       5.80830,            0.,NA,NA,"",   61.9645E-03,  -62.6055E-03,       1.18094,   2.10984E-03,   79.4402E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9066,       3.46060,       6.10517,            0.,NA,NA,"",   57.0345E-03,  -65.7433E-03,       1.15595,   11.3001E-03,   81.8301E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9067,       3.62731,       5.89863,            0.,NA,NA,"",   60.9574E-03,  -63.3094E-03,       1.17328,   3.90685E-03,   80.4033E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9068,       6.29306,       4.47542,            0.,NA,NA,"",   119.197E-03,  -29.4893E-03,       1.18344,  -116.089E-03,  -46.3366E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9069,       5.50037,       6.26885,            0.,NA,NA,"",   89.6249E-03,  -47.9187E-03,       1.12125,  -48.6208E-03,   49.8880E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9070,       3.79641,       5.32869,            0.,NA,NA,"",   67.3574E-03,  -58.8402E-03,       1.22126,  -8.27387E-03,   72.5976E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9071,       6.10616,       6.39370,            0.,NA,NA,"",   98.4395E-03,  -42.8614E-03,       1.10136,  -48.2492E-03,   35.1933E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9072,       5.28543,       5.14772,            0.,NA,NA,"",   95.0082E-03,  -43.3435E-03,       1.19898,  -82.7797E-03,   30.0149E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9073,       3.78235,       6.16497,            0.,NA,NA,"",   62.0315E-03,  -63.2830E-03,       1.14853,  -1.84747E-03,   81.3870E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9074,       6.24240,       5.77019,            0.,NA,NA,"",   105.931E-03,  -38.0748E-03,       1.13060,  -66.3424E-03,   13.8197E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9075,       4.27739,       6.26015,            0.,NA,NA,"",   69.6228E-03,  -59.3429E-03,       1.13733,  -19.4765E-03,   77.2190E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9076,       3.85292,       5.42383,            0.,NA,NA,"",   67.7271E-03,  -58.8265E-03,       1.21192,  -10.7115E-03,   73.5959E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9077,       4.00945,       5.13580,            0.,NA,NA,"",   72.4515E-03,  -55.7663E-03,       1.23335,  -23.0301E-03,   66.7590E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9078,       4.23787,       5.01507,            0.,NA,NA,"",   77.4323E-03,  -52.8455E-03,       1.23750,  -39.5472E-03,   60.0941E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9079,       5.47747,       5.07949,            0.,NA,NA,"",   98.9826E-03,  -41.0508E-03,       1.19610,  -89.8910E-03,   19.6514E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9080,       5.73199,       6.35673,            0.,NA,NA,"",   92.7094E-03,  -46.2033E-03,       1.11172,  -48.4153E-03,   44.7631E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9081,       6.06014,       6.10336,            0.,NA,NA,"",   100.087E-03,  -41.6906E-03,       1.11890,  -56.7286E-03,   29.8393E-03
